"Machine","Emergency Stop","Hoods / Coberturas","Safety Doors","Repair Switch","Safety Light Curtain","Manivela / Hand Crank","Delimitador / Access Limiter","Trava / Lock"
"CarryStripPacker","5.2.1","--","5.2.2","5.2.3","--","--","--","--"
"Folienrollenhubwagen","--","--","--","--","--","5.2.1","5.2.2","5.2.3"
"Innopack_Packer_EN","5.2.1","--","5.2.2","--","--","--","--","--"
"NatureMultiPacker","5.2.1","--","5.2.2 | 5.2.3 (Safety door on container)","5.2.5","5.2.4","--","--","--"
"RS2","5.2.1","5.2.2","5.2.3","--","--","--","--","--"
"ShrinkPacker","5.2.1","5.2.2","5.2.3","--","--","--","--","--"
"TrayPacker","5.2.1","5.2.2","5.2.3 | 5.2.4 (Protection shield on blank magazine)","5.2.5","--","--","--","--"
"TrayShrinkPacker","5.2.1","5.2.2","5.2.3 | 5.2.4 (Protection shield on blank magazine)","5.2.5","--","--","--","--"
"WraparoundPacker","5.2.1","5.2.2","5.2.3","5.2.4","--","--","--","--"
"WraparoundShrinkPacker","5.2.1","5.2.2","5.2.3 | 5.2.4 (Safety door in the safety fence on the blank magazine loader) | 5.2.5 (Safety door on the blank magazine loader)","--","--","--","--","--"
"Zufuhrband","--","--","--","5.2.1","--","--","--","--"
