"Machine","Switch On / Ligar","Compressed Air / Ar","Hot Melt / Cola","Film / Filme","Blanks / Cartão","Shrink Tunnel / Túnel","Labels / Etiquetas","Adhesive Tape / Alça","Measure the print mark","Initial measurement of the print mark","Medir a marca impressa"
"CarryStripPacker","--","--","--","--","--","--","5.5.2","5.5.1","--","--","--"
"Folienrollenhubwagen","--","--","--","--","--","--","--","--","--","--","--"
"Innopack_Packer_EN","--","--","--","--","--","--","--","--","--","--","--"
"NatureMultiPacker","5.5.1","--","5.5.2 | 5.5.3 | 5.5.4","5.5.6","--","--","5.5.5","--","--","--","--"
"RS2","--","5.5.1","--","5.5.2","--","5.5.4","--","--","--","--","5.5.3"
"ShrinkPacker","--","5.5.1","--","5.5.2","--","5.5.4","--","--","--","--","5.5.3"
"TrayPacker","5.5.1","--","5.5.3 | 5.5.7","5.5.4","5.5.2","5.5.6","--","--","5.5.5","--","--"
"TrayShrinkPacker","5.5.1","--","5.5.3 | 5.5.7","5.5.4","5.5.2","5.5.6","--","--","5.5.5","--","--"
"WraparoundPacker","5.5.1","--","5.5.3 | 5.5.4","--","5.5.2","--","--","--","--","--","--"
"WraparoundShrinkPacker","5.5.1","--","5.5.3 | 5.5.7","5.5.4","5.5.2","5.5.6","--","--","--","5.5.5","--"
"Zufuhrband","--","--","--","--","--","--","--","--","--","--","--"
